Model,Item,Part No.,Part Description (TCLNA), Price ,Type,Year Sold
TAC-08CPA/HA,1,810700494,Horizon deflector 2, $ 5.58 ,Portable,2017
TAC-08CPA/HA,2,810700691,Deflector link, $ 0.50 ,Portable,2017
TAC-08CPA/HA,3,810700690,Support of deflector, $ 2.00 ,Portable,2017
TAC-08CPA/HA,4,810700689,Horizon deflector link 1, $ 4.00 ,Portable,2017
TAC-08CPA/HA,5,810700692,Fixer of motor, $- ,Portable,2017
TAC-08CPA/HA,6,1175032001B,Step motor, $ 21.60 ,Portable,2017
TAC-08CPA/HA,7,811303723B,Panel sticker, $- ,Portable,2017
TAC-08CPA/HA,8,810700488,Top panel, $- ,Portable,2017
TAC-08CPA/HA,9,810900379,Display board, $ 41.80 ,Portable,2017
TAC-08CPA/HA,10,810800088,Protect net, $ 3.12 ,Portable,2017
TAC-08CPA/HA,11,810700492,Outlet duct, $- ,Portable,2017
TAC-08CPA/HA,12,8090950003B,Receiver board, $ 14.88 ,Portable,2017
TAC-08CPA/HA,13,810700497,Handle, $- ,Portable,2017
TAC-08CPA/HA,14,810700762B,Front panel, $- ,Portable,2017
TAC-08CPA/HA,15,810800072,Electrical box cover, $- ,Portable,2017
TAC-08CPA/HA,16,810800071,Electrical box, $- ,Portable,2017
TAC-08CPA/HA,17,1170100037,Fan motor capacitor, $ 9.76 ,Portable,2017
TAC-08CPA/HA,18,1170100044,Fan motor capacitor, $ 5.68 ,Portable,2017
TAC-08CPA/HA,19,1170100004-R,Capacitor of compressor, $ 11.73 ,Portable,2017
TAC-08CPA/HA,20,1085110009,Capacitor clamp, $- ,Portable,2017
TAC-08CPA/HA,21,810900378,Control circuit board, $- ,Portable,2017
TAC-08CPA/HA,22,1073030201,Sensor fixer, $- ,Portable,2017
TAC-08CPA/HA,23,1175032007,Sensor resistance, $ 8.04 ,Portable,2017
TAC-08CPA/HA,24,810700515,lead of water, $- ,Portable,2017
TAC-08CPA/HA,25,811200746,Evaporator, $- ,Portable,2017
TAC-08CPA/HA,26,810700397,Front duct of evaporator, $- ,Portable,2017
TAC-08CPA/HA,27,810700400,Centrifugal fan, $- ,Portable,2017
TAC-08CPA/HA,28,810700398,Rear duct of evaporator, $- ,Portable,2017
TAC-08CPA/HA,29,810900023B,Fan motor, $- ,Portable,2017
TAC-08CPA/HA,30,1075100022,Clamp, $- ,Portable,2017
TAC-08CPA/HA,31,810700410,Middle metal panel, $- ,Portable,2017
TAC-08CPA/HA,32,810800093,Support, $- ,Portable,2017
TAC-08CPA/HA,33,810900137,Fan motor, $ 47.46 ,Portable,2017
TAC-08CPA/HA,34,810700417,Rear duct of condenser, $- ,Portable,2017
TAC-08CPA/HA,35,1175110002,Centrifugal fan, $ 10.00 ,Portable,2017
TAC-08CPA/HA,36,810700416,Front duct of condenser, $- ,Portable,2017
TAC-08CPA/HA,37,810700418,Condenser seal, $- ,Portable,2017
TAC-08CPA/HA,38,811200747,Condenser, $- ,Portable,2017
TAC-08CPA/HA,39,810800073,Condensor protector, $- ,Portable,2017
TAC-08CPA/HA,40,810700026C,Float fix panel, $- ,Portable,2017
TAC-08CPA/HA,41,810900031,Float switch, $- ,Portable,2017
TAC-08CPA/HA,42,1075090029,Splash motor left cover, $- ,Portable,2017
TAC-08CPA/HA,43,8170070001B,Splash motor, $- ,Portable,2017
TAC-08CPA/HA,44,1075090017,Splash moter right cover, $- ,Portable,2017
TAC-08CPA/HA,45,8070032005,Castor, $ 3.24 ,Portable,2017
TAC-08CPA/HA,46,814100485,Base, $- ,Portable,2017
TAC-08CPA/HA,47,810700027,Stopper, $ 1.54 ,Portable,2017
TAC-08CPA/HA,48,1075110023,Splash disk, $- ,Portable,2017
TAC-08CPA/HA,49,811200726,Capillary, $- ,Portable,2017
TAC-08CPA/HA,50,811200742,Compressor, $- ,Portable,2017
TAC-08CPA/HA,51,811200743,Discharge pipe, $- ,Portable,2017
TAC-08CPA/HA,52,811200744,Suction pipe, $- ,Portable,2017
TAC-08CPA/HA,53,810700491,Filter of evaporator, $ 5.36 ,Portable,2017
TAC-08CPA/HA,54,810700490,Grill of evaporator, $- ,Portable,2017
TAC-08CPA/HA,55,810700489,Back panel, $- ,Portable,2017
TAC-08CPA/HA,56,214106113A,Cover of drainage hose, $ 0.40 ,Portable,2017
TAC-08CPA/HA,57,210703297,Seal, $ 2.00 ,Portable,2017
TAC-08CPA/HA,58,210703134,Fixer of drainage cover, $ 2.75 ,Portable,2017
TAC-08CPA/HA,59,8120120025A,Exhaust Hose, $ 12.30 ,Portable,2017
TAC-08CPA/HA,60,810700396,Hose inlet, $ 4.26 ,Portable,2017
TAC-08CPA/HA,61,810700693,Window slider, $ 14.54 ,Portable,2017
TAC-08CPA/HA,62,810700345A,Hose outlet, $ 4.75 ,Portable,2017
TAC-08CPA/HA,63,810800108,Protect net of window slider, $ 2.54 ,Portable,2017
TAC-08CPA/HA,64,810900417B,Remote controller, $ 12.87 ,Portable,2017
TAC-08CPA/HA,65,810900443,Power cord, $- ,Portable,2017
TAC-10CPA/HA,19,810900275,Capacitor of compressor, $- ,Portable,2017
TAC-10CPA/HA,20,1085110009,Capacitor clamp, $- ,Portable,2017
TAC-10CPA/HA,21,810900378,Control circuit board, $- ,Portable,2017
TAC-10CPA/HA,22,1073030201,Sensor fixer, $- ,Portable,2017
TAC-10CPA/HA,23,1175032007,Sensor resistance, $ 8.04 ,Portable,2017
TAC-10CPA/HA,24,810700515,lead of water, $- ,Portable,2017
TAC-10CPA/HA,25,811200633,Evaporator, $- ,Portable,2017
TAC-10CPA/HA,26,810700397,Front duct of evaporator, $- ,Portable,2017
TAC-10CPA/HA,27,810700400,Centrifugal fan, $- ,Portable,2017
TAC-10CPA/HA,28,810700398,Rear duct of evaporator, $- ,Portable,2017
TAC-10CPA/HA,29,810900023B,Fan motor, $- ,Portable,2017
TAC-10CPA/HA,30,1075100022,Clamp, $- ,Portable,2017
TAC-10CPA/HA,31,810700410,Middle metal panel, $- ,Portable,2017
TAC-10CPA/HA,32,810800093,Support, $- ,Portable,2017
TAC-10CPA/HA,33,810900137,Fan motor, $ 47.46 ,Portable,2017
TAC-10CPA/HA,34,810700417,Rear duct of condenser, $- ,Portable,2017
TAC-10CPA/HA,35,1175110002,Centrifugal fan, $ 10.00 ,Portable,2017
TAC-10CPA/HA,36,810700416,Front duct of condenser, $- ,Portable,2017
TAC-10CPA/HA,37,810700418,Condenser seal, $- ,Portable,2017
TAC-10CPA/HA,38,811200634,Condenser, $- ,Portable,2017
TAC-10CPA/HA,39,810800073,Condensor protector, $- ,Portable,2017
TAC-10CPA/HA,40,810700026C,Float fix panel, $- ,Portable,2017
TAC-10CPA/HA,41,810900031,Float switch, $- ,Portable,2017
TAC-10CPA/HA,42,1075090029,Splash motor left cover, $- ,Portable,2017
TAC-10CPA/HA,43,8170070001B,Splash motor, $- ,Portable,2017
TAC-10CPA/HA,44,1075090017,Splash moter right cover, $- ,Portable,2017
TAC-10CPA/HA,45,8070032005,Castor, $ 3.24 ,Portable,2017
TAC-10CPA/HA,46,814100485,Base, $- ,Portable,2017
TAC-10CPA/HA,47,810700027,Stopper, $ 1.54 ,Portable,2017
TAC-10CPA/HA,48,1075110023,Splash disk, $- ,Portable,2017
TAC-10CPA/HA,49,811200627,Capillary, $- ,Portable,2017
TAC-10CPA/HA,50,811200626,Compressor, $- ,Portable,2017
TAC-10CPA/HA,51,811200632,Discharge pipe, $- ,Portable,2017
TAC-10CPA/HA,52,811200987,Suction pipe, $- ,Portable,2017
TAC-10CPA/HA,53,810700491,Filter of evaporator, $ 5.36 ,Portable,2017
TAC-10CPA/HA,54,810700490,Grill of evaporator, $- ,Portable,2017
TAC-10CPA/HA,55,810700489,Back panel, $- ,Portable,2017
TAC-10CPA/HA,56,214106113A,Cover of drainage hose, $ 0.40 ,Portable,2017
TAC-10CPA/HA,57,210703297,Seal, $ 2.00 ,Portable,2017
TAC-10CPA/HA,58,210703134,Fixer of drainage cover, $ 2.75 ,Portable,2017
TAC-10CPA/HA,59,8120120025A,Exhaust Hose, $ 12.30 ,Portable,2017
TAC-10CPA/HA,60,810700396,Hose inlet, $ 4.26 ,Portable,2017
TAC-10CPA/HA,61,810700693,Window slider, $ 14.54 ,Portable,2017
TAC-10CPA/HA,62,810700345A,Hose outlet, $ 4.75 ,Portable,2017
TAC-10CPA/HA,63,810800108,Protect net of window sli, $ 2.54 ,Portable,2017
TAC-10CPA/HA,64,810900417B,Remote controller, $ 12.87 ,Portable,2017
TAC-10CPA/HA,65,810900443,Power cord, $- ,Portable,2017
TAC-12CPA/HA,,210703297,Gasket of Cap, $ 2.00 ,Portable,2017
TAC-12CPA/HA,,810700489,Back panel, $- ,Portable,2017
TAC-12CPA/HA,,814100485,Base, $- ,Portable,2017
TAC-12CPA/HA,,1180010112,Bolt, $- ,Portable,2017
TAC-12CPA/HA,,811303357,Bottom foam, $- ,Portable,2017
TAC-12CPA/HA,,1085110009,Capacitor clamp, $- ,Portable,2017
TAC-12CPA/HA,,810900275,Capacitor of compressor, $- ,Portable,2017
TAC-12CPA/HA,,811200627,Capillary, $- ,Portable,2017
TAC-12CPA/HA,,1075100021,Caster Lock, $ 2.00 ,Portable,2017
TAC-12CPA/HA,,810701160,"caster, set of four", $ 3.92 ,Portable,2017
TAC-12CPA/HA,,810700400,Centrifugal fan, $- ,Portable,2017
TAC-12CPA/HA,,1175110002,Centrifugal fan, $ 10.00 ,Portable,2017
TAC-12CPA/HA,,1075100022,Clamp, $- ,Portable,2017
TAC-12CPA/HA,,811200626,Compressor, $- ,Portable,2017
TAC-12CPA/HA,,811200634,Condenser, $- ,Portable,2017
TAC-12CPA/HA,,810700418,Condenser seal, $- ,Portable,2017
TAC-12CPA/HA,,810800073,Condensor protector, $- ,Portable,2017
TAC-12CPA/HA,,810900378,Control circuit board, $- ,Portable,2017
TAC-12CPA/HA,,810700691,Deflector link, $ 0.50 ,Portable,2017
TAC-12CPA/HA,,811200632,Discharge pipe, $- ,Portable,2017
TAC-12CPA/HA,,810900379,Display board, $ 41.80 ,Portable,2017
TAC-12CPA/HA,,210703134,Drain Cap Tether, $ 2.75 ,Portable,2017
TAC-12CPA/HA,,810701052B,Drain Hose Cap, $ 0.85 ,Portable,2017
TAC-12CPA/HA,,810800071,Electrical box, $- ,Portable,2017
TAC-12CPA/HA,,810800072,Electrical box cover, $- ,Portable,2017
TAC-12CPA/HA,,811200633,Evaporator, $- ,Portable,2017
TAC-12CPA/HA,,1075032001A,Exhaust Hose, $ 15.02 ,Portable,2017
TAC-12CPA/HA,,810900137,Fan motor, $ 47.46 ,Portable,2017
TAC-12CPA/HA,,810900023B,Fan motor, $- ,Portable,2017
TAC-12CPA/HA,,1170100037,Fan motor capacitor, $ 9.76 ,Portable,2017
TAC-12CPA/HA,,1170100044,Fan motor capacitor, $ 5.68 ,Portable,2017
TAC-12CPA/HA,,810700491,Filter, $ 5.36 ,Portable,2017
TAC-12CPA/HA,,810700692,Fixer of motor, $- ,Portable,2017
TAC-12CPA/HA,,810800107,Fixer of window slider, $- ,Portable,2017
TAC-12CPA/HA,,810700026C,Float fix panel, $- ,Portable,2017
TAC-12CPA/HA,,810900031,Float switch, $- ,Portable,2017
TAC-12CPA/HA,,810700416,Front duct of condenser, $- ,Portable,2017
TAC-12CPA/HA,,810700397,Front duct of evaporator, $- ,Portable,2017
TAC-12CPA/HA,,810700762B,Front panel, $- ,Portable,2017
TAC-12CPA/HA,,811303413,Front supporter of carton, $- ,Portable,2017
TAC-12CPA/HA,,810700490,Grill of evaporator, $- ,Portable,2017
TAC-12CPA/HA,,810700497,Handle, $- ,Portable,2017
TAC-12CPA/HA,,810700494,Horizon deflector 2, $ 5.58 ,Portable,2017
TAC-12CPA/HA,,810700689,Horizon deflector link 1, $ 4.00 ,Portable,2017
TAC-12CPA/HA,,810701089,Hose inlet, $ 3.60 ,Portable,2017
TAC-12CPA/HA,,810700515,lead of water, $- ,Portable,2017
TAC-12CPA/HA,,810700027,Lower drain plug, $ 1.54 ,Portable,2017
TAC-12CPA/HA,,810700410,Middle metal panel, $- ,Portable,2017
TAC-12CPA/HA,,810700492,Outlet duct, $- ,Portable,2017
TAC-12CPA/HA,,811303415,Pad of lower foam, $- ,Portable,2017
TAC-12CPA/HA,,811303723B,Panel sticker, $- ,Portable,2017
TAC-12CPA/HA,,810900443,Power cord, $- ,Portable,2017
TAC-12CPA/HA,,810800088,Protect net, $ 3.12 ,Portable,2017
TAC-12CPA/HA,,810800108,Protect net of window slider, $ 2.54 ,Portable,2017
TAC-12CPA/HA,,810700417,Rear duct of condenser, $- ,Portable,2017
TAC-12CPA/HA,,810700398,Rear duct of evaporator, $- ,Portable,2017
TAC-12CPA/HA,,811303414,Rear supporter of carton, $- ,Portable,2017
TAC-12CPA/HA,,8090950003B,Receiver board, $ 14.88 ,Portable,2017
TAC-12CPA/HA,,810900417B,Remote controller, $ 12.87 ,Portable,2017
TAC-12CPA/HA,,1073030201,Sensor fixer, $- ,Portable,2017
TAC-12CPA/HA,,1175032007,Sensor resistance, $ 8.04 ,Portable,2017
TAC-12CPA/HA,,1075110023,Splash disk, $- ,Portable,2017
TAC-12CPA/HA,,1075090017,Splash moter right cover, $- ,Portable,2017
TAC-12CPA/HA,,8170070001B,Splash motor, $- ,Portable,2017
TAC-12CPA/HA,,1075090029,Splash motor left cover, $- ,Portable,2017
TAC-12CPA/HA,,810700789,Sponge of window slider 1, $- ,Portable,2017
TAC-12CPA/HA,,810700360,Sponge of window slider 2, $- ,Portable,2017
TAC-12CPA/HA,,1175032001B,Step motor, $ 21.60 ,Portable,2017
TAC-12CPA/HA,,811200987,Suction pipe, $- ,Portable,2017
TAC-12CPA/HA,,810800093,Support, $- ,Portable,2017
TAC-12CPA/HA,,810700690,Support of deflector, $ 2.00 ,Portable,2017
TAC-12CPA/HA,,811303412,Top pad, $- ,Portable,2017
TAC-12CPA/HA,,810700488,Top panel, $- ,Portable,2017
